area_name_en,median_procedure_area,min,max,rooms_en,floor_bin,has_parking,swimming_pool,elevator,balcony
Al Barsha South Fifth,64.01,7.6,139.11,['1 B/R' 'Studio' '2 B/R' '3 B/R' 'PENTHOUSE'],"['31-40' '1-10' 'Below 1st floor' '11-20' '21-30' '41-50' '-9-0' '51-60'
 'Other']",[1 0],[1 0],[1 0],[1 0]
Al Barsha South Fourth,68.23,1.07,141.62,['1 B/R' 'Studio' '2 B/R' '3 B/R' 'More than 3B/R'],['1-10' '21-30' '11-20' 'Below 1st floor' '31-40' '41-50' 'Other' '-9-0'],[1 0],[0 1],[1 0],[1 0]
Al Barshaa South Third,64.32,15.92,139.23,['1 B/R' '2 B/R' 'Studio' '3 B/R'],['1-10' '21-30' '11-20' 'Below 1st floor' '31-40'],[1 0],[1 0],[1 0],[1 0]
Al Hebiah Fourth,71.84,0.3,153.51,['1 B/R' 'Studio' '2 B/R' '3 B/R'],['11-20' '1-10' 'Below 1st floor' '21-30' '31-40'],[1 0],[1 0],[1 0],[1 0]
Al Khairan First,100.94,12.79,173.59,['2 B/R' '1 B/R' '3 B/R' 'More than 3B/R'],"['31-40' '21-30' '1-10' '11-20' 'Below 1st floor' '51-60' '41-50' 'Other'
 '61-70']",[1],[0 1],[1 0],[1 0]
Al Merkadh,56.69,4.83,143.51,['2 B/R' '1 B/R' 'Studio' '3 B/R'],['1-10' '11-20' 'Below 1st floor' '21-30' '31-40' '61-70' '51-60' '41-50'],[1 0],[1 0],[1 0],[0 1]
Al Thanyah Fifth,87.57,4.49,196.99,['Studio' '2 B/R' '1 B/R' '3 B/R' 'PENTHOUSE' 'More than 3B/R'],"['11-20' '21-30' '31-40' '1-10' 'Below 1st floor' '61-70' 'Top floor'
 '41-50' '51-60' '71-80']",[1 0],[1 0],[0 1],[1 0]
Al Yelayiss 2,86.01,20.86,151.86,['2 B/R' '3 B/R' '1 B/R' 'Studio'],['1-10' '11-20' 'Below 1st floor'],[1],[1 0],[1 0],[1 0]
Burj Khalifa,103.24,3.0,227.52,['1 B/R' '2 B/R' '3 B/R' 'Studio' 'More than 3B/R'],"['1-10' '11-20' '21-30' '31-40' '41-50' 'Below 1st floor' '51-60' '61-70'
 '81-90' '101-110' '91-100' '71-80' 'Other']",[0 1],[1 0],[1 0],[1 0]
Business Bay,69.56,3.02,160.1,['2 B/R' '1 B/R' 'Studio' '3 B/R' 'PENTHOUSE' 'More than 3B/R'],"['21-30' '1-10' '11-20' 'Below 1st floor' '31-40' '41-50' '51-60' '61-70'
 '71-80' '81-90' 'Other' '91-100']",[1 0],[1 0],[1 0],[1 0]
Hadaeq Sheikh Mohammed Bin Rashid,76.86,4.82,165.06,['2 B/R' '3 B/R' '1 B/R' 'Studio'],['1-10' 'Below 1st floor' '11-20' '21-30' 'Other'],[1],[1 0],[1 0],[1 0]
Jabal Ali First,86.9,1.64,196.17,['2 B/R' '1 B/R' '3 B/R' 'Studio'],['1-10' '11-20' 'Below 1st floor'],[1 0],[1 0],[1 0],[1 0]
Madinat Al Mataar,73.8,14.65,196.94,['Studio' '2 B/R' '1 B/R' '3 B/R'],['1-10' 'Below 1st floor' '11-20' 'Other'],[1 0],[1 0],[1 0],[1 0]
Madinat Dubai Almelaheyah,77.455,24.8,186.33,['1 B/R' '2 B/R' '3 B/R' 'Studio'],['11-20' '31-40' '1-10' '41-50' '21-30' 'Below 1st floor' 'Other'],[1 0],[1 0],[1 0],[1 0]
Marsa Dubai,109.04,0.73,251.55,['1 B/R' '2 B/R' '3 B/R' 'More than 3B/R' 'Studio' 'PENTHOUSE'],"['11-20' '1-10' '31-40' '51-60' '71-80' '81-90' 'Below 1st floor' '61-70'
 '41-50' '21-30' '91-100' 'Other' 'Duplex']",[1 0],[1 0],[1 0],[1 0]
Me'Aisem First,65.14,6.82,176.62,['Studio' '2 B/R' '1 B/R' '3 B/R'],['11-20' '1-10' '21-30' 'Below 1st floor' 'Other'],[0 1],[1 0],[0 1],[1 0]
Nadd Hessa,74.87,14.07,140.72,['2 B/R' '1 B/R' 'Studio' '3 B/R'],['1-10' 'Below 1st floor' 'Other' '11-20' '31-40' '21-30' 'Top floor'],[1 0],[1 0],[0 1],[1 0]
Wadi Al Safa 5,71.395,9.43,168.11,['Studio' '3 B/R' '2 B/R' '1 B/R' 'More than 3B/R'],['1-10' '11-20' 'Below 1st floor' '21-30' '31-40' 'Other'],[1 0],[1 0],[1 0],[1 0]
