area_name_en,year_month,meter_sale_price
Al Barsha South Fifth,2016-01-01,7396.47
Al Hebiah Fourth,2016-01-01,10464.54
Madinat Al Mataar,2016-01-01,15643.235
Wadi Al Safa 5,2016-01-01,7250.13
Al Khairan First,2016-01-01,13896.45
Al Barsha South Fourth,2016-01-01,9687.52
Al Merkadh,2016-01-01,17229.25
Al Thanyah Fifth,2016-01-01,11323.02
Marsa Dubai,2016-01-01,13238.66
Nadd Hessa,2016-01-01,8742.31
Jabal Ali First,2016-01-01,7675.44
Al Yelayiss 2,2016-01-01,9272.94
Burj Khalifa,2016-01-01,17224.23
Business Bay,2016-01-01,19379.074999999997
Me'Aisem First,2016-01-01,9706.64
Hadaeq Sheikh Mohammed Bin Rashid,2016-01-01,13900.55
Al Barshaa South Third,2016-01-01,9485.97
Al Khairan First,2016-02-01,14827.12
Wadi Al Safa 5,2016-02-01,7373.25
Business Bay,2016-02-01,19374.39
Burj Khalifa,2016-02-01,20960.33
Al Yelayiss 2,2016-02-01,9783.84
Jabal Ali First,2016-02-01,9647.619999999999
Al Hebiah Fourth,2016-02-01,9563.77
Al Barsha South Fourth,2016-02-01,9418.43
Al Thanyah Fifth,2016-02-01,10502.630000000001
Al Barsha South Fifth,2016-02-01,7534.66
Me'Aisem First,2016-02-01,10548.17
Hadaeq Sheikh Mohammed Bin Rashid,2016-02-01,14996.69
Al Barshaa South Third,2016-02-01,9312.21
Nadd Hessa,2016-02-01,9143.415
Marsa Dubai,2016-02-01,13516.83
Madinat Al Mataar,2016-02-01,13982.439999999999
Madinat Dubai Almelaheyah,2016-02-01,22604.2
Jabal Ali First,2016-03-01,9416.55
Wadi Al Safa 5,2016-03-01,7225.61
Al Yelayiss 2,2016-03-01,11276.654999999999
Al Khairan First,2016-03-01,14609.69
Marsa Dubai,2016-03-01,13882.41
Burj Khalifa,2016-03-01,17388.84
Madinat Dubai Almelaheyah,2016-03-01,23680.58
Nadd Hessa,2016-03-01,8868.849999999999
Al Barsha South Fourth,2016-03-01,9041.59
Al Thanyah Fifth,2016-03-01,10705.84
Hadaeq Sheikh Mohammed Bin Rashid,2016-03-01,14555.23
Al Hebiah Fourth,2016-03-01,9748.43
Al Barsha South Fifth,2016-03-01,9590.99
Business Bay,2016-03-01,16481.145
Al Barshaa South Third,2016-03-01,9185.505
Me'Aisem First,2016-03-01,10030.154999999999
Wadi Al Safa 5,2016-04-01,7344.09
Al Barsha South Fourth,2016-04-01,9687.48
Jabal Ali First,2016-04-01,12098.71
Al Hebiah Fourth,2016-04-01,9702.58
Al Barshaa South Third,2016-04-01,7395.545
Nadd Hessa,2016-04-01,9032.705000000002
Madinat Dubai Almelaheyah,2016-04-01,23680.58
Al Yelayiss 2,2016-04-01,10638.75
Me'Aisem First,2016-04-01,9657.12
Al Khairan First,2016-04-01,15083.34
Marsa Dubai,2016-04-01,14306.195
Al Barsha South Fifth,2016-04-01,10710.755000000001
Business Bay,2016-04-01,19716.98
Burj Khalifa,2016-04-01,20472.68
Hadaeq Sheikh Mohammed Bin Rashid,2016-04-01,14892.38
Madinat Al Mataar,2016-04-01,10292.369999999999
Al Thanyah Fifth,2016-04-01,11328.115000000002
Me'Aisem First,2016-05-01,9534.915
Madinat Dubai Almelaheyah,2016-05-01,23680.58
Al Thanyah Fifth,2016-05-01,11463.19
Marsa Dubai,2016-05-01,14128.04
Hadaeq Sheikh Mohammed Bin Rashid,2016-05-01,14137.52
Al Barshaa South Third,2016-05-01,5046.26
Jabal Ali First,2016-05-01,11721.85
Nadd Hessa,2016-05-01,9277.555
Madinat Al Mataar,2016-05-01,8947.2
Wadi Al Safa 5,2016-05-01,7714.165
Al Hebiah Fourth,2016-05-01,9399.76
Al Barsha South Fourth,2016-05-01,8710.95
Burj Khalifa,2016-05-01,20910.14
Al Barsha South Fifth,2016-05-01,11529.295
Al Yelayiss 2,2016-05-01,10244.64
Business Bay,2016-05-01,15301.32
Al Khairan First,2016-05-01,15146.005000000001
Nadd Hessa,2016-06-01,9228.74
Al Barshaa South Third,2016-06-01,9687.63
Wadi Al Safa 5,2016-06-01,7898.475
Madinat Al Mataar,2016-06-01,9132.17
Al Hebiah Fourth,2016-06-01,9420.47
Al Barsha South Fourth,2016-06-01,9008.665
Al Barsha South Fifth,2016-06-01,10764.04
