,area_name_en,month,median_price
817,Burj Khalifa,2020-01-01,17944.075
818,Madinat Al Mataar,2020-01-01,6536.165
819,Wadi Al Safa 5,2020-01-01,4918.84
820,Me'Aisem First,2020-01-01,6401.91
821,Marsa Dubai,2020-01-01,12994.990000000002
822,Al Khairan First,2020-01-01,15399.245
823,Al Hebiah Fourth,2020-01-01,6391.14
824,Al Yelayiss 2,2020-01-01,6254.38
825,Al Barsha South Fifth,2020-01-01,6948.91
826,Jabal Ali First,2020-01-01,8181.2
827,Al Barsha South Fourth,2020-01-01,7040.15
828,Hadaeq Sheikh Mohammed Bin Rashid,2020-01-01,15366.490000000002
829,Nadd Hessa,2020-01-01,7431.809999999999
830,Al Merkadh,2020-01-01,15730.765
831,Business Bay,2020-01-01,15667.28
832,Al Thanyah Fifth,2020-01-01,9357.99
833,Al Barshaa South Third,2020-01-01,10248.24
834,Al Thanyah Fifth,2020-02-01,7627.799999999999
835,Al Barsha South Fourth,2020-02-01,7722.764999999999
836,Al Yelayiss 2,2020-02-01,7019.66
837,Al Khairan First,2020-02-01,18048.445
838,Marsa Dubai,2020-02-01,13711.54
839,Wadi Al Safa 5,2020-02-01,7024.450000000001
840,Al Merkadh,2020-02-01,14729.74
841,Me'Aisem First,2020-02-01,6121.26
842,Al Barsha South Fifth,2020-02-01,4951.389999999999
843,Al Barshaa South Third,2020-02-01,10646.39
844,Business Bay,2020-02-01,16271.11
845,Madinat Dubai Almelaheyah,2020-02-01,15521.195
846,Hadaeq Sheikh Mohammed Bin Rashid,2020-02-01,14596.45
847,Al Hebiah Fourth,2020-02-01,6918.07
848,Nadd Hessa,2020-02-01,7222.64
849,Burj Khalifa,2020-02-01,20089.44
850,Madinat Al Mataar,2020-02-01,9438.83
851,Jabal Ali First,2020-02-01,7649.94
852,Business Bay,2020-03-01,16395.385000000002
853,Al Khairan First,2020-03-01,16746.78
854,Burj Khalifa,2020-03-01,19283.98
855,Marsa Dubai,2020-03-01,13651.69
856,Wadi Al Safa 5,2020-03-01,9526.26
857,Al Merkadh,2020-03-01,15314.14
858,Me'Aisem First,2020-03-01,6508.219999999999
859,Madinat Al Mataar,2020-03-01,7983.585
860,Al Barsha South Fifth,2020-03-01,9383.06
861,Nadd Hessa,2020-03-01,7189.13
862,Al Thanyah Fifth,2020-03-01,9538.485
863,Jabal Ali First,2020-03-01,7864.73
864,Al Barsha South Fourth,2020-03-01,9458.18
865,Al Hebiah Fourth,2020-03-01,6716.235000000001
866,Al Yelayiss 2,2020-03-01,7261.35
867,Hadaeq Sheikh Mohammed Bin Rashid,2020-03-01,15000.63
868,Al Barshaa South Third,2020-03-01,10019.69
869,Business Bay,2020-04-01,16421.985
870,Wadi Al Safa 5,2020-04-01,9251.16
871,Me'Aisem First,2020-04-01,6769.39
872,Al Barsha South Fifth,2020-04-01,10643.575
873,Al Hebiah Fourth,2020-04-01,5459.855
874,Marsa Dubai,2020-04-01,20953.39
875,Al Thanyah Fifth,2020-04-01,10109.18
876,Al Barshaa South Third,2020-04-01,13855.42
877,Madinat Dubai Almelaheyah,2020-04-01,14703.48
878,Al Khairan First,2020-04-01,15397.72
879,Al Barsha South Fourth,2020-04-01,10958.53
880,Jabal Ali First,2020-04-01,9351.72
881,Nadd Hessa,2020-04-01,7222.64
882,Hadaeq Sheikh Mohammed Bin Rashid,2020-04-01,15717.71
883,Burj Khalifa,2020-04-01,19953.86
884,Al Yelayiss 2,2020-04-01,10387.355
885,Madinat Al Mataar,2020-04-01,8703.615
886,Al Merkadh,2020-04-01,17975.73
887,Madinat Al Mataar,2020-05-01,5839.24
888,Hadaeq Sheikh Mohammed Bin Rashid,2020-05-01,11494.98
889,Business Bay,2020-05-01,16479.74
890,Me'Aisem First,2020-05-01,6844.424999999999
891,Al Barsha South Fifth,2020-05-01,9149.325
892,Burj Khalifa,2020-05-01,11828.49
893,Al Barshaa South Third,2020-05-01,10737.29
894,Al Hebiah Fourth,2020-05-01,4574.67
895,Marsa Dubai,2020-05-01,13708.27
896,Al Thanyah Fifth,2020-05-01,10112.77
897,Al Khairan First,2020-05-01,15008.15
898,Al Merkadh,2020-05-01,17904.01
899,Al Yelayiss 2,2020-05-01,5984.42
900,Wadi Al Safa 5,2020-05-01,9469.95
901,Al Barsha South Fourth,2020-05-01,9890.15
902,Nadd Hessa,2020-05-01,7222.64
903,Jabal Ali First,2020-05-01,8951.91
904,Jabal Ali First,2020-06-01,8776.45
905,Madinat Al Mataar,2020-06-01,7987.79
906,Me'Aisem First,2020-06-01,7228.84
907,Business Bay,2020-06-01,16129.03
908,Hadaeq Sheikh Mohammed Bin Rashid,2020-06-01,11394.47
909,Al Barsha South Fifth,2020-06-01,10565.86
910,Al Barsha South Fourth,2020-06-01,10074.96
911,Al Barshaa South Third,2020-06-01,10145.99
912,Al Merkadh,2020-06-01,18083.37
913,Burj Khalifa,2020-06-01,20303.79
914,Al Thanyah Fifth,2020-06-01,9342.64
915,Wadi Al Safa 5,2020-06-01,5812.91
916,Marsa Dubai,2020-06-01,12421.740000000002
917,Nadd Hessa,2020-06-01,7418.285
918,Al Khairan First,2020-06-01,15252.73
919,Al Hebiah Fourth,2020-06-01,5920.04
920,Al Yelayiss 2,2020-06-01,7966.24
921,Business Bay,2020-07-01,11998.66
922,Al Barshaa South Third,2020-07-01,10024.375
923,Al Thanyah Fifth,2020-07-01,8383.64
924,Madinat Al Mataar,2020-07-01,6915.63
925,Al Khairan First,2020-07-01,15790.82
926,Al Barsha South Fourth,2020-07-01,9588.84
927,Hadaeq Sheikh Mohammed Bin Rashid,2020-07-01,11166.075
928,Jabal Ali First,2020-07-01,9808.2
929,Me'Aisem First,2020-07-01,7307.805
930,Al Merkadh,2020-07-01,15872.9
931,Wadi Al Safa 5,2020-07-01,9526.26
932,Al Hebiah Fourth,2020-07-01,4992.14
933,Burj Khalifa,2020-07-01,16878.235
934,Nadd Hessa,2020-07-01,6381.365
935,Al Barsha South Fifth,2020-07-01,11827.65
936,Marsa Dubai,2020-07-01,9034.05
937,Al Yelayiss 2,2020-07-01,8847.04
938,Al Khairan First,2020-08-01,13806.015
939,Al Merkadh,2020-08-01,14754.835
940,Hadaeq Sheikh Mohammed Bin Rashid,2020-08-01,15031.695
941,Al Hebiah Fourth,2020-08-01,5138.31
942,Burj Khalifa,2020-08-01,11830.585
943,Al Yelayiss 2,2020-08-01,10054.625
944,Al Thanyah Fifth,2020-08-01,7746.515
945,Jabal Ali First,2020-08-01,7801.99
946,Al Barsha South Fourth,2020-08-01,7799.46
947,Al Barsha South Fifth,2020-08-01,6134.57
948,Wadi Al Safa 5,2020-08-01,10135.12
949,Madinat Al Mataar,2020-08-01,4684.135
950,Nadd Hessa,2020-08-01,7353.780000000001
951,Me'Aisem First,2020-08-01,7032.79
952,Marsa Dubai,2020-08-01,10286.2
953,Al Barshaa South Third,2020-08-01,10881.835
954,Business Bay,2020-08-01,10873.4
955,Burj Khalifa,2020-09-01,13093.565
956,Al Barsha South Fifth,2020-09-01,6770.91
957,Me'Aisem First,2020-09-01,6887.555
958,Al Yelayiss 2,2020-09-01,8997.935000000001
959,Al Merkadh,2020-09-01,16736.28
960,Madinat Al Mataar,2020-09-01,8005.8
961,Hadaeq Sheikh Mohammed Bin Rashid,2020-09-01,13878.7
962,Al Barsha South Fourth,2020-09-01,7319.625
963,Al Barshaa South Third,2020-09-01,9764.345
964,Al Khairan First,2020-09-01,15721.42
965,Marsa Dubai,2020-09-01,10083.3
966,Wadi Al Safa 5,2020-09-01,7340.8
967,Al Hebiah Fourth,2020-09-01,5322.139999999999
968,Business Bay,2020-09-01,13856.32
969,Nadd Hessa,2020-09-01,6581.35
970,Al Thanyah Fifth,2020-09-01,7824.27
971,Jabal Ali First,2020-09-01,5765.465
972,Me'Aisem First,2020-10-01,6483.94
973,Wadi Al Safa 5,2020-10-01,9502.645
974,Burj Khalifa,2020-10-01,16937.83
975,Marsa Dubai,2020-10-01,10297.8
976,Al Khairan First,2020-10-01,16474.205
977,Al Barsha South Fifth,2020-10-01,5920.59
978,Al Thanyah Fifth,2020-10-01,7327.925
979,Jabal Ali First,2020-10-01,8410.965
980,Al Barshaa South Third,2020-10-01,10836.69
981,Al Yelayiss 2,2020-10-01,7092.6
982,Madinat Al Mataar,2020-10-01,5374.12
983,Nadd Hessa,2020-10-01,5620.175
984,Business Bay,2020-10-01,13240.155
985,Al Merkadh,2020-10-01,16753.79
986,Al Hebiah Fourth,2020-10-01,5518.23
987,Al Barsha South Fourth,2020-10-01,7768.765
988,Hadaeq Sheikh Mohammed Bin Rashid,2020-10-01,11680.72
989,Madinat Al Mataar,2020-11-01,4520.48
990,Al Barsha South Fifth,2020-11-01,5915.44
991,Burj Khalifa,2020-11-01,15952.44
992,Al Barsha South Fourth,2020-11-01,8341.82
993,Wadi Al Safa 5,2020-11-01,8966.33
994,Al Thanyah Fifth,2020-11-01,8944.65
995,Jabal Ali First,2020-11-01,8424.58
996,Business Bay,2020-11-01,13454.87
997,Hadaeq Sheikh Mohammed Bin Rashid,2020-11-01,15682.93
998,Al Khairan First,2020-11-01,14031.34
999,Al Barshaa South Third,2020-11-01,8371.2
1000,Al Merkadh,2020-11-01,16715.28
